"name","city","income","credit_score","loan_amount","years_employed","points","loan_approved","credit_category","employment_level","loan_to_income","debt_burden_category","high_loan"
"Allison Hill","East Jill",113810,389,39698,27,50,FALSE,"Poor","Senior (26+ yrs)",0.348809419207451,"Moderate (20-40%)",FALSE
"Brandon Hall","New Jamesside",44592,729,15446,28,55,FALSE,"Good","Senior (26+ yrs)",0.346385001794044,"Moderate (20-40%)",FALSE
"Rhonda Smith","Lake Roberto",33278,584,11189,13,45,FALSE,"Fair","Mid (11-25 yrs)",0.336228138710259,"Moderate (20-40%)",FALSE
"Gabrielle Davis","West Melanieview",127196,344,48823,29,50,FALSE,"Poor","Senior (26+ yrs)",0.383840686814051,"Moderate (20-40%)",TRUE
"Valerie Gray","Mariastad",66048,496,47174,4,25,FALSE,"Poor","Entry (0-10 yrs)",0.714238129844961,"High (≥40%)",TRUE
"Darren Roberts","Port Jesseville",62098,689,19217,29,65,TRUE,"Good","Senior (26+ yrs)",0.309462462559181,"Moderate (20-40%)",FALSE
"Holly Wood","Lake Joseph",59256,373,40920,40,35,FALSE,"Poor","Senior (26+ yrs)",0.690562980963953,"High (≥40%)",TRUE
"Nicholas Martin","Nelsonside",48289,524,45866,20,25,FALSE,"Poor","Mid (11-25 yrs)",0.949822941042473,"High (≥40%)",TRUE
"Patty Perez","Port Leslieview",126530,367,14826,36,55,FALSE,"Poor","Senior (26+ yrs)",0.117173792776417,"Low (<20%)",FALSE
"Emily Rios","Wilkersonmouth",43434,446,18359,8,20,FALSE,"Poor","Entry (0-10 yrs)",0.422687295666989,"High (≥40%)",FALSE
"Justin Baker","Hurstfurt",118696,670,15373,8,75,TRUE,"Good","Entry (0-10 yrs)",0.12951573768282,"Low (<20%)",FALSE
"Ann Williams","East Courtneychester",127080,365,26216,24,55,FALSE,"Poor","Mid (11-25 yrs)",0.206295247088448,"Moderate (20-40%)",FALSE
"Julie King","Lake Jenniferside",146939,573,43006,21,50,FALSE,"Poor","Mid (11-25 yrs)",0.29267927507333,"Moderate (20-40%)",TRUE
"Jeffrey Chavez","Teresaburgh",101482,819,7973,40,100,TRUE,"Excellent","Senior (26+ yrs)",0.0785656569637965,"Low (<20%)",FALSE
"Mark Lynch","West Kathryn",41395,843,1037,38,80,TRUE,"Excellent","Senior (26+ yrs)",0.0250513347022587,"Low (<20%)",FALSE
"Alec Hickman","Johnbury",107397,380,6613,31,60,TRUE,"Poor","Senior (26+ yrs)",0.0615752767768187,"Low (<20%)",FALSE
"Vanessa Patel","East Donna",85302,469,18370,33,50,FALSE,"Poor","Senior (26+ yrs)",0.215352512250592,"Moderate (20-40%)",FALSE
"Jenny Lewis","Lake Larry",34165,682,29711,33,50,FALSE,"Good","Senior (26+ yrs)",0.869632665008049,"High (≥40%)",FALSE
"David Brown","New Angelashire",33905,525,1471,4,30,FALSE,"Poor","Entry (0-10 yrs)",0.0433859312785725,"Low (<20%)",FALSE
"Amy Jones","Port Markhaven",42280,543,19250,31,25,FALSE,"Poor","Senior (26+ yrs)",0.455298013245033,"High (≥40%)",FALSE
"Carlos Walls","Sanchezfort",58657,716,13478,6,65,TRUE,"Good","Entry (0-10 yrs)",0.229776497263754,"Moderate (20-40%)",FALSE
"Jeffrey Henderson","Shieldston",60495,400,4972,25,50,FALSE,"Poor","Mid (11-25 yrs)",0.0821886106289776,"Low (<20%)",FALSE
"Rebecca Rodriguez","East Amanda",96237,443,28648,11,45,FALSE,"Poor","Mid (11-25 yrs)",0.297681764809792,"Moderate (20-40%)",FALSE
"David Leblanc","Mortonside",108907,400,4315,34,60,TRUE,"Poor","Senior (26+ yrs)",0.0396209610034249,"Low (<20%)",FALSE
"Tracy House","East Richard",33478,792,15008,25,60,TRUE,"Excellent","Mid (11-25 yrs)",0.448294402294044,"High (≥40%)",FALSE
"Carmen Smith","Bakermouth",103563,592,28722,35,65,TRUE,"Fair","Senior (26+ yrs)",0.277338431679268,"Moderate (20-40%)",FALSE
"Katelyn Lee","North Beth",56062,362,21552,3,30,FALSE,"Poor","Entry (0-10 yrs)",0.384431522243231,"Moderate (20-40%)",FALSE
"John Calhoun","North Susan",123850,382,13178,4,45,FALSE,"Poor","Entry (0-10 yrs)",0.106402906742027,"Low (<20%)",FALSE
"Megan Young","New Johnton",115181,383,28474,37,55,FALSE,"Poor","Senior (26+ yrs)",0.247210911521866,"Moderate (20-40%)",FALSE
"Emily Green","Johnfurt",121924,434,45019,19,50,FALSE,"Poor","Mid (11-25 yrs)",0.369238213969358,"Moderate (20-40%)",TRUE
"Timothy Walls","South Christineshire",101426,402,5801,34,60,TRUE,"Poor","Senior (26+ yrs)",0.0571944077455485,"Low (<20%)",FALSE
"Derek Mahoney","East Mikeburgh",84987,748,36600,19,75,TRUE,"Excellent","Mid (11-25 yrs)",0.430654100038829,"High (≥40%)",FALSE
"Victoria Valdez","Lake Lisaport",58893,406,9800,16,45,FALSE,"Poor","Mid (11-25 yrs)",0.166403477493081,"Low (<20%)",FALSE
"Brian Tran","Juanborough",88878,651,14342,40,65,TRUE,"Fair","Senior (26+ yrs)",0.161367267490268,"Low (<20%)",FALSE
"Kathy King","North Cynthiaview",107236,345,1232,21,60,TRUE,"Poor","Mid (11-25 yrs)",0.011488679174904,"Low (<20%)",FALSE
"Mandy Green","Arnoldchester",66463,309,8331,4,35,FALSE,"Poor","Entry (0-10 yrs)",0.125347937950439,"Low (<20%)",FALSE
"Melissa Hernandez","Port Mikeside",136093,451,29166,8,50,FALSE,"Poor","Entry (0-10 yrs)",0.214309332588744,"Moderate (20-40%)",FALSE
"Jacob Fitzpatrick","West Jasonbury",143940,405,24178,35,55,FALSE,"Poor","Senior (26+ yrs)",0.167972766430457,"Low (<20%)",FALSE
